YEAR,AMA,SECTOR,CATEGORY,PARENT WATER TYPE OR SECTOR,BUDGET ELEMENT,QUANTITY
1987,SANTA CRUZ AMA,Industrial,Supply,Groundwater,Water withdrawn from wells,1378
1987,SANTA CRUZ AMA,Agricultural,Supply,Groundwater,Water withdrawn from wells,15269
1987,TUCSON AMA,Municipal,Supply,Groundwater,Groundwater,125284
1987,TUCSON AMA,Industrial,Supply,Groundwater,Groundwater,42770
1987,TUCSON AMA,Industrial,Supply,Surface Water,Surface Water,789
1987,TUCSON AMA,Industrial,Supply,Other,Other,145
1987,TUCSON AMA,Agricultural,Supply,Groundwater,Groundwater,100874
1987,TUCSON AMA,Agricultural,Supply,Effluent,Effluent,3420
1987,TUCSON AMA,Indian,Supply,Groundwater,Groundwater,810
1988,PHOENIX AMA,Municipal,Supply,Groundwater,Groundwater,237675
1988,PHOENIX AMA,Municipal,Supply,Surface Water,Surface Water,391963
1988,PHOENIX AMA,Municipal,Supply,CAP,CAP,74557
1988,PHOENIX AMA,Municipal,Supply,Effluent,Effluent,1321
1988,PHOENIX AMA,Municipal,Supply,Effluent,Direct Use Effluent,1321
1988,PHOENIX AMA,Municipal,Supply,Spill,Spill,9685
1988,PHOENIX AMA,Industrial,Supply,Groundwater,Groundwater,71194
1988,PHOENIX AMA,Industrial,Supply,Groundwater,Poor Quality GW,136
1988,PHOENIX AMA,Industrial,Supply,Surface Water,Surface Water,4692
1988,PHOENIX AMA,Industrial,Supply,CAP,CAP,853
1988,PHOENIX AMA,Industrial,Supply,Effluent,Effluent,60886
1988,PHOENIX AMA,Agricultural,Supply,Groundwater,Groundwater,632303
1988,PHOENIX AMA,Agricultural,Supply,Surface Water,Surface Water,448694
1988,PHOENIX AMA,Agricultural,Supply,CAP,CAP,85856
1988,PHOENIX AMA,Agricultural,Supply,Effluent,Effluent,30009
1988,PHOENIX AMA,Agricultural,Supply,Spill,Spill,64073
1988,PHOENIX AMA,Agricultural,Supply,Other,Other,8118
1988,PHOENIX AMA,Indian,Supply,Groundwater,Groundwater,106635
1988,PHOENIX AMA,Indian,Supply,Surface Water,Surface Water,192558
1988,PINAL AMA,Municipal,Supply,Groundwater,Groundwater,14535
1988,PINAL AMA,Municipal,Supply,Surface Water,Surface Water,784
1988,PINAL AMA,Industrial,Supply,Groundwater,Groundwater,4300
1988,PINAL AMA,Industrial,Supply,Effluent,Effluent,12
1988,PINAL AMA,Agricultural,Supply,Groundwater,Groundwater,489247
1988,PINAL AMA,Agricultural,Supply,Surface Water,Surface Water,161820
1988,PINAL AMA,Agricultural,Supply,CAP,CAP,157308
1988,PINAL AMA,Agricultural,Supply,Effluent,Effluent,5297
1988,PINAL AMA,Indian,Supply,Groundwater,Groundwater,59237
1988,PINAL AMA,Indian,Supply,Surface Water,Surface Water,28800
1988,PINAL AMA,Indian,Supply,CAP,CAP,64000
1988,PRESCOTT AMA,Municipal,Supply,Groundwater,Groundwater,7066
1988,PRESCOTT AMA,Municipal,Supply,Surface Water,Surface Water,121
1988,PRESCOTT AMA,Municipal,Supply,Effluent,Effluent,187
1988,PRESCOTT AMA,Industrial,Supply,Groundwater,Groundwater,523
1988,PRESCOTT AMA,Agricultural,Supply,Groundwater,Groundwater,5490
1988,PRESCOTT AMA,Agricultural,Supply,Surface Water,Surface Water,8460
1988,SANTA CRUZ AMA,Municipal,Supply,Groundwater,Water withdrawn from wells,5037
1988,SANTA CRUZ AMA,Industrial,Supply,Groundwater,Water withdrawn from wells,1425
1988,SANTA CRUZ AMA,Agricultural,Supply,Groundwater,Water withdrawn from wells,11263
1988,TUCSON AMA,Municipal,Supply,Groundwater,Groundwater,126980
1988,TUCSON AMA,Municipal,Supply,Effluent,Effluent,3449
1988,TUCSON AMA,Industrial,Supply,Groundwater,Groundwater,45024
1988,TUCSON AMA,Industrial,Supply,Groundwater,Poor Quality GW,0
1988,TUCSON AMA,Industrial,Supply,Surface Water,Surface Water,205
1988,TUCSON AMA,Industrial,Supply,Other,Other,190
1988,TUCSON AMA,Agricultural,Supply,Groundwater,Groundwater,103104
1988,TUCSON AMA,Agricultural,Supply,Effluent,Effluent,3572
1988,TUCSON AMA,Indian,Supply,Groundwater,Groundwater,902
1989,PHOENIX AMA,Municipal,Supply,Groundwater,Groundwater,230410
1989,PHOENIX AMA,Municipal,Supply,Surface Water,Surface Water,404009
1989,PHOENIX AMA,Municipal,Supply,CAP,CAP,105013
1989,PHOENIX AMA,Municipal,Supply,Effluent,Effluent,1682
1989,PHOENIX AMA,Municipal,Supply,Effluent,Direct Use Effluent,1682
1989,PHOENIX AMA,Municipal,Supply,Spill,Spill,4867
1989,PHOENIX AMA,Industrial,Supply,Groundwater,Groundwater,72584
1989,PHOENIX AMA,Industrial,Supply,Groundwater,Poor Quality GW,195
1989,PHOENIX AMA,Industrial,Supply,Surface Water,Surface Water,4975
1989,PHOENIX AMA,Industrial,Supply,CAP,CAP,905
1989,PHOENIX AMA,Industrial,Supply,Effluent,Effluent,24966
1989,PHOENIX AMA,Agricultural,Supply,Groundwater,Groundwater,703133
1989,PHOENIX AMA,Agricultural,Supply,Surface Water,Surface Water,450473
1989,PHOENIX AMA,Agricultural,Supply,CAP,CAP,100228
1989,PHOENIX AMA,Agricultural,Supply,Effluent,Effluent,30000
1989,PHOENIX AMA,Agricultural,Supply,Spill,Spill,3868
1989,PHOENIX AMA,Agricultural,Supply,Other,Other,2015
1989,PHOENIX AMA,Indian,Supply,Groundwater,Groundwater,106868
1989,PHOENIX AMA,Indian,Supply,Surface Water,Surface Water,200652
1989,PINAL AMA,Municipal,Supply,Groundwater,Groundwater,15061
1989,PINAL AMA,Municipal,Supply,Surface Water,Surface Water,809
1989,PINAL AMA,Industrial,Supply,Groundwater,Groundwater,4309
1989,PINAL AMA,Industrial,Supply,Effluent,Effluent,12
1989,PINAL AMA,Agricultural,Supply,Groundwater,Groundwater,472955
1989,PINAL AMA,Agricultural,Supply,Surface Water,Surface Water,150081
1989,PINAL AMA,Agricultural,Supply,CAP,CAP,317407
1989,PINAL AMA,Agricultural,Supply,Effluent,Effluent,4847
1989,PINAL AMA,Indian,Supply,Groundwater,Groundwater,52374
1989,PINAL AMA,Indian,Supply,Surface Water,Surface Water,29280
1989,PINAL AMA,Indian,Supply,CAP,CAP,63000
1989,PRESCOTT AMA,Municipal,Supply,Groundwater,Groundwater,8329
1989,PRESCOTT AMA,Municipal,Supply,Effluent,Effluent,176
1989,PRESCOTT AMA,Industrial,Supply,Groundwater,Groundwater,669
1989,PRESCOTT AMA,Agricultural,Supply,Groundwater,Groundwater,6794
1989,PRESCOTT AMA,Agricultural,Supply,Surface Water,Surface Water,1134
1989,SANTA CRUZ AMA,Municipal,Supply,Groundwater,Water withdrawn from wells,6405
1989,SANTA CRUZ AMA,Industrial,Supply,Groundwater,Water withdrawn from wells,1538
1989,SANTA CRUZ AMA,Agricultural,Supply,Groundwater,Water withdrawn from wells,16166
1989,TUCSON AMA,Municipal,Supply,Groundwater,Groundwater,135057
1989,TUCSON AMA,Municipal,Supply,Effluent,Effluent,4263
1989,TUCSON AMA,Industrial,Supply,Groundwater,Groundwater,51952
1989,TUCSON AMA,Industrial,Supply,Groundwater,Poor Quality GW,38
1989,TUCSON AMA,Industrial,Supply,Surface Water,Surface Water,0
1989,TUCSON AMA,Industrial,Supply,Other,Other,178
1989,TUCSON AMA,Agricultural,Supply,Groundwater,Groundwater,108808
1989,TUCSON AMA,Agricultural,Supply,Effluent,Effluent,4518
1989,TUCSON AMA,Indian,Supply,Groundwater,Groundwater,2091
1990,PHOENIX AMA,Municipal,Supply,Groundwater,Groundwater,273860
1990,PHOENIX AMA,Municipal,Supply,Surface Water,Surface Water,286728
1990,PHOENIX AMA,Municipal,Supply,CAP,CAP,150827
1990,PHOENIX AMA,Municipal,Supply,Effluent,Effluent,2800
1990,PHOENIX AMA,Municipal,Supply,Effluent,Direct Use Effluent,2800
1990,PHOENIX AMA,Industrial,Supply,Groundwater,Groundwater,62869
1990,PHOENIX AMA,Industrial,Supply,Groundwater,Poor Quality GW,382
1990,PHOENIX AMA,Industrial,Supply,Surface Water,Surface Water,4607
1990,PHOENIX AMA,Industrial,Supply,CAP,CAP,838
1990,PHOENIX AMA,Industrial,Supply,Effluent,Effluent,51232
1990,PHOENIX AMA,Agricultural,Supply,Groundwater,Groundwater,700103
1990,PHOENIX AMA,Agricultural,Supply,Surface Water,Surface Water,272083
1990,PHOENIX AMA,Agricultural,Supply,CAP,CAP,77574
1990,PHOENIX AMA,Agricultural,Supply,Effluent,Effluent,30000
1990,PHOENIX AMA,Agricultural,Supply,Spill,Spill,2006
1990,PHOENIX AMA,Agricultural,Supply,Other,Other,1582
1990,PHOENIX AMA,Indian,Supply,Groundwater,Groundwater,115066
1990,PHOENIX AMA,Indian,Supply,Surface Water,Surface Water,68065
1990,PINAL AMA,Municipal,Supply,Groundwater,Groundwater,14808
1990,PINAL AMA,Municipal,Supply,Surface Water,Surface Water,408
1990,PINAL AMA,Industrial,Supply,Groundwater,Groundwater,4726
1990,PINAL AMA,Industrial,Supply,Effluent,Effluent,149
1990,PINAL AMA,Agricultural,Supply,Groundwater,Groundwater,399092
1990,PINAL AMA,Agricultural,Supply,Surface Water,Surface Water,24399
1990,PINAL AMA,Agricultural,Supply,CAP,CAP,303989
1990,PINAL AMA,Agricultural,Supply,Effluent,Effluent,5014
1990,PINAL AMA,Indian,Supply,Groundwater,Groundwater,52692
1990,PINAL AMA,Indian,Supply,Surface Water,Surface Water,5600
1990,PINAL AMA,Indian,Supply,CAP,CAP,67000
1990,PRESCOTT AMA,Municipal,Supply,Groundwater,Groundwater,7724
1990,PRESCOTT AMA,Municipal,Supply,Effluent,Effluent,344
1990,PRESCOTT AMA,Industrial,Supply,Groundwater,Groundwater,476
1990,PRESCOTT AMA,Agricultural,Supply,Groundwater,Groundwater,5958
1990,PRESCOTT AMA,Agricultural,Supply,Surface Water,Surface Water,83
1990,SANTA CRUZ AMA,Municipal,Supply,Groundwater,Water withdrawn from wells,6192
1990,SANTA CRUZ AMA,Industrial,Supply,Groundwater,Water withdrawn from wells,1321
1990,SANTA CRUZ AMA,Industrial,Supply,Groundwater,Poor Quality GW,0
1990,SANTA CRUZ AMA,Agricultural,Supply,Groundwater,Water withdrawn from wells,11603
1990,TUCSON AMA,Municipal,Supply,Groundwater,Groundwater,123646
1990,TUCSON AMA,Municipal,Supply,Effluent,Effluent,4290
1990,TUCSON AMA,Industrial,Supply,Groundwater,Groundwater,50088
1990,TUCSON AMA,Industrial,Supply,Groundwater,Poor Quality GW,33
1990,TUCSON AMA,Industrial,Supply,Surface Water,Surface Water,0
1990,TUCSON AMA,Agricultural,Supply,Groundwater,Groundwater,81843
1990,TUCSON AMA,Agricultural,Supply,Effluent,Effluent,4375
1990,TUCSON AMA,Indian,Supply,Groundwater,Groundwater,1516
1991,PHOENIX AMA,Municipal,Supply,Groundwater,Groundwater,219830
1991,PHOENIX AMA,Municipal,Supply,Surface Water,Surface Water,386675
1991,PHOENIX AMA,Municipal,Supply,CAP,CAP,74187
1991,PHOENIX AMA,Municipal,Supply,Effluent,Effluent,3202
1991,PHOENIX AMA,Municipal,Supply,Effluent,Direct Use Effluent,3202
1991,PHOENIX AMA,Municipal,Supply,Spill,Spill,42044
1991,PHOENIX AMA,Industrial,Supply,Groundwater,Groundwater,61642
1991,PHOENIX AMA,Industrial,Supply,Groundwater,Poor Quality GW,1221
1991,PHOENIX AMA,Industrial,Supply,Surface Water,Surface Water,4538
1991,PHOENIX AMA,Industrial,Supply,CAP,CAP,825
1991,PHOENIX AMA,Industrial,Supply,Effluent,Effluent,51188
1991,PHOENIX AMA,Agricultural,Supply,Groundwater,Groundwater,465080
1991,PHOENIX AMA,Agricultural,Supply,Surface Water,Surface Water,418856
1991,PHOENIX AMA,Agricultural,Supply,CAP,CAP,33083
1991,PHOENIX AMA,Agricultural,Supply,Effluent,GSF (EFFLUENT),64
1991,PHOENIX AMA,Agricultural,Supply,Effluent,Effluent,30019
1991,PHOENIX AMA,Agricultural,Supply,Spill,Spill,86603
1991,PHOENIX AMA,Agricultural,Supply,Other,Other,2472
1991,PHOENIX AMA,Indian,Supply,Groundwater,Groundwater,91135
1991,PHOENIX AMA,Indian,Supply,Surface Water,Surface Water,159220
1991,PINAL AMA,Municipal,Supply,Groundwater,Groundwater,14676
1991,PINAL AMA,Municipal,Supply,Surface Water,Surface Water,634
1991,PINAL AMA,Industrial,Supply,Groundwater,Groundwater,5442
1991,PINAL AMA,Industrial,Supply,Effluent,Effluent,132
1991,PINAL AMA,Agricultural,Supply,Groundwater,Groundwater,416508
1991,PINAL AMA,Agricultural,Supply,Surface Water,Surface Water,124924
1991,PINAL AMA,Agricultural,Supply,CAP,CAP,198417
1991,PINAL AMA,Agricultural,Supply,Effluent,Effluent,2437
1991,PINAL AMA,Indian,Supply,Groundwater,Groundwater,50049
1991,PINAL AMA,Indian,Supply,Surface Water,Surface Water,21920
1991,PINAL AMA,Indian,Supply,CAP,CAP,72000
1991,PRESCOTT AMA,Municipal,Supply,Groundwater,Groundwater,7774
1991,PRESCOTT AMA,Municipal,Supply,Effluent,Effluent,712
1991,PRESCOTT AMA,Industrial,Supply,Groundwater,Groundwater,516
1991,PRESCOTT AMA,Agricultural,Supply,Groundwater,Groundwater,5861
1991,PRESCOTT AMA,Agricultural,Supply,Surface Water,Surface Water,8460
1991,SANTA CRUZ AMA,Municipal,Supply,Groundwater,Water withdrawn from wells,6287
1991,SANTA CRUZ AMA,Industrial,Supply,Groundwater,Water withdrawn from wells,1510
1991,SANTA CRUZ AMA,Agricultural,Supply,Groundwater,Water withdrawn from wells,11634
1991,TUCSON AMA,Municipal,Supply,Groundwater,Groundwater,125846
1991,TUCSON AMA,Municipal,Supply,Effluent,Effluent,5131
1991,TUCSON AMA,Industrial,Supply,Groundwater,Groundwater,57235
1991,TUCSON AMA,Industrial,Supply,Groundwater,Poor Quality GW,103
1991,TUCSON AMA,Industrial,Supply,Surface Water,Surface Water,0
1991,TUCSON AMA,Agricultural,Supply,Groundwater,Groundwater,85461
1991,TUCSON AMA,Agricultural,Supply,Effluent,Effluent,3047
1991,TUCSON AMA,Indian,Supply,Groundwater,Groundwater,1557
1992,PHOENIX AMA,Municipal,Supply,Groundwater,Groundwater,181228
1992,PHOENIX AMA,Municipal,Supply,Surface Water,Surface Water,264535
1992,PHOENIX AMA,Municipal,Supply,CAP,CAP,92223
1992,PHOENIX AMA,Municipal,Supply,Effluent,Effluent,3951
1992,PHOENIX AMA,Municipal,Supply,Effluent,Direct Use Effluent,3951
1992,PHOENIX AMA,Municipal,Supply,Spill,Spill,154661
1992,PHOENIX AMA,Industrial,Supply,Groundwater,Groundwater,62740
1992,PHOENIX AMA,Industrial,Supply,Groundwater,Poor Quality GW,1582
1992,PHOENIX AMA,Industrial,Supply,Surface Water,Surface Water,3954
1992,PHOENIX AMA,Industrial,Supply,CAP,CAP,719
1992,PHOENIX AMA,Industrial,Supply,Effluent,Effluent,50816
1992,PHOENIX AMA,Agricultural,Supply,Groundwater,Groundwater,329965
1992,PHOENIX AMA,Agricultural,Supply,Surface Water,Surface Water,248811
1992,PHOENIX AMA,Agricultural,Supply,CAP,CAP,9968
1992,PHOENIX AMA,Agricultural,Supply,CAP,GSF (CAP),84981
1992,PHOENIX AMA,Agricultural,Supply,Effluent,Effluent,30001
1992,PHOENIX AMA,Agricultural,Supply,Spill,Spill,255170
1992,PHOENIX AMA,Agricultural,Supply,Other,Other,3275
1992,PHOENIX AMA,Indian,Supply,Groundwater,Groundwater,78001
1992,PHOENIX AMA,Indian,Supply,Surface Water,Surface Water,181951
1992,PINAL AMA,Municipal,Supply,Groundwater,Groundwater,15070
1992,PINAL AMA,Municipal,Supply,Surface Water,Surface Water,717
1992,PINAL AMA,Municipal,Supply,Effluent,Effluent,23
1992,PINAL AMA,Industrial,Supply,Groundwater,Groundwater,5865
1992,PINAL AMA,Industrial,Supply,Effluent,Effluent,158
1992,PINAL AMA,Agricultural,Supply,Groundwater,Groundwater,228777
1992,PINAL AMA,Agricultural,Supply,Surface Water,Surface Water,169824
1992,PINAL AMA,Agricultural,Supply,CAP,CAP,73520
1992,PINAL AMA,Agricultural,Supply,CAP,GSF (CAP),162196
1992,PINAL AMA,Agricultural,Supply,Effluent,Effluent,3186
1992,PINAL AMA,Indian,Supply,Groundwater,Groundwater,47007
1992,PINAL AMA,Indian,Supply,Surface Water,Surface Water,26720
1992,PINAL AMA,Indian,Supply,CAP,CAP,71000
1992,PRESCOTT AMA,Municipal,Supply,Groundwater,Groundwater,7910
1992,PRESCOTT AMA,Municipal,Supply,Effluent,Effluent,650
1992,PRESCOTT AMA,Industrial,Supply,Groundwater,Groundwater,805
1992,PRESCOTT AMA,Agricultural,Supply,Groundwater,Groundwater,4129
1992,PRESCOTT AMA,Agricultural,Supply,Surface Water,Surface Water,10600
1992,SANTA CRUZ AMA,Municipal,Supply,Groundwater,Water withdrawn from wells,6130
1992,SANTA CRUZ AMA,Industrial,Supply,Groundwater,Water withdrawn from wells,1150
1992,SANTA CRUZ AMA,Agricultural,Supply,Groundwater,Water withdrawn from wells,8440
1992,TUCSON AMA,Municipal,Supply,Groundwater,Groundwater,120739
1992,TUCSON AMA,Municipal,Supply,CAP,CAP,7840
1992,TUCSON AMA,Municipal,Supply,Effluent,Effluent,5360
1992,TUCSON AMA,Industrial,Supply,Groundwater,Groundwater,51283
1992,TUCSON AMA,Industrial,Supply,Groundwater,Poor Quality GW,151
1992,TUCSON AMA,Industrial,Supply,Surface Water,Surface Water,0
1992,TUCSON AMA,Industrial,Supply,Effluent,Effluent,56
1992,TUCSON AMA,Agricultural,Supply,Groundwater,Groundwater,82208
1992,TUCSON AMA,Agricultural,Supply,Effluent,Effluent,2629
1992,TUCSON AMA,Indian,Supply,Groundwater,Groundwater,3800
1993,PHOENIX AMA,Municipal,Supply,Groundwater,Groundwater,206526
1993,PHOENIX AMA,Municipal,Supply,Surface Water,Surface Water,296152
1993,PHOENIX AMA,Municipal,Supply,CAP,CAP,111471
1993,PHOENIX AMA,Municipal,Supply,Effluent,Effluent,3628
1993,PHOENIX AMA,Municipal,Supply,Effluent,Direct Use Effluent,3628
1993,PHOENIX AMA,Municipal,Supply,Spill,Spill,112138
1993,PHOENIX AMA,Industrial,Supply,Groundwater,Groundwater,64041
1993,PHOENIX AMA,Industrial,Supply,Groundwater,Poor Quality GW,1641
1993,PHOENIX AMA,Industrial,Supply,Surface Water,Surface Water,4734
1993,PHOENIX AMA,Industrial,Supply,CAP,CAP,861
1993,PHOENIX AMA,Industrial,Supply,Effluent,Effluent,49069
1993,PHOENIX AMA,Agricultural,Supply,Groundwater,Groundwater,358902
1993,PHOENIX AMA,Agricultural,Supply,Surface Water,Surface Water,291624
1993,PHOENIX AMA,Agricultural,Supply,CAP,CAP,5151
1993,PHOENIX AMA,Agricultural,Supply,CAP,GSF (CAP),129948
1993,PHOENIX AMA,Agricultural,Supply,Effluent,Effluent,30001
1993,PHOENIX AMA,Agricultural,Supply,Spill,Spill,189852
1993,PHOENIX AMA,Agricultural,Supply,Other,Other,1771
1993,PHOENIX AMA,Indian,Supply,Groundwater,Groundwater,79431
1993,PHOENIX AMA,Indian,Supply,Surface Water,Surface Water,168999
1993,PINAL AMA,Municipal,Supply,Groundwater,Groundwater,15392
1993,PINAL AMA,Municipal,Supply,Surface Water,Surface Water,651
1993,PINAL AMA,Industrial,Supply,Groundwater,Groundwater,5026
1993,PINAL AMA,Industrial,Supply,Effluent,Effluent,166
1993,PINAL AMA,Agricultural,Supply,Groundwater,Groundwater,188049
1993,PINAL AMA,Agricultural,Supply,Surface Water,Surface Water,169543
